id;description;min_price;start_date;end_date
1;Implementation;65757;2020-04-11T02:21:27;2020-04-10T20:24:25
2;Licensed Planner Corporate;9581;2020-04-10T20:16:01;2020-04-10T17:26:23
3;Common;21118;2020-04-10T22:21:20;2020-04-11T02:31:31
4;Oklahoma Place port;35906;2020-04-10T18:04:49;2020-04-10T15:04:33
5;Clothing whiteboard Guatemala;20975;2020-04-11T04:21:36;2020-04-11T02:26:37
6;Sports;74063;2020-04-10T17:11:06;2020-04-11T06:37:17
7;technologies Designer;94281;2020-04-10T23:57:25;2020-04-10T18:34:05
8;Mauritania Handmade Orchestrator;44891;2020-04-10T18:54:35;2020-04-11T01:49:17
9;connecting Outdoors Practical;32408;2020-04-10T19:09:54;2020-04-10T20:56:29
10;COM;28518;2020-04-10T22:30:24;2020-04-11T07:04:35
