id;start_date;end_date;price
1;2020-04-11T04:55:24;2020-04-10T15:28:55;19508
2;2020-04-10T14:01:59;2020-04-11T08:52:38;2813
3;2020-04-10T14:44:25;2020-04-11T02:28:08;55782
4;2020-04-10T17:36:09;2020-04-10T15:29:54;37188
5;2020-04-11T09:05:56;2020-04-11T07:18:34;20297
6;2020-04-10T17:53:49;2020-04-11T05:47:57;7751
7;2020-04-10T21:30:09;2020-04-11T00:17:17;95333
8;2020-04-10T20:34:17;2020-04-11T04:08:43;12937
9;2020-04-11T06:47:55;2020-04-11T09:09:55;5405
10;2020-04-10T17:55:09;2020-04-11T10:55:18;13356
